,label,text
0,gadgets,"Things aren¡¯t going well down at the ol¡¯ nano-factory. They¡¯re having trouble getting all those tiny workers to synchronize and move quickly together. But leave it to the Germans to get things running smoothly! All it took was a careful application of that newfangled technology ¡°electricity.¡±Tiny nano-scale machines formed from DNA could be the future of manufacturing things at small scale but great volume: drugs, tiny chip components and, of course, more nanomachines. But moving simple, reusable machines like a little arm half a micrometer long is more difficult than at human scale. Wires for signals aren¡¯t possible at that scale, and if you want to move it with a second arm, how do you move that arm?For a while chemical signals have been used; wash a certain solution over a nanobot and it changes its orientation, closes its grasping tip or what have you. But that¡¯s slow and inexact.Researchers at the Technical University of Munich were looking at ways to improve this situation of controlling machines at the molecular scale. They were working with ¡°nano-cranes,¡± which are essentially a custom 400-nanometer strand of DNA sticking up out of a substrate, with a flexible base (literally ? it¡¯s made of unpaired bases) that lets it rotate in any direction. It¡¯s more like a tiny robotic finger, but let¡¯s not split hairs (or base pairs).What Friedrich Simmel and his team found, or rather realized the potential of, was that DNA molecules and therefore these nano-cranes have a negative charge. So theoretically, they should move in response to electric fields. And that¡¯s just what they did.They attached tiny fluorescent pigment molecules to the tips of the cranes so they could see what they were doing in real time, then observed the cranes as the electric field surrounding them was carefully changed.To their great delight, the cranes moved exactly as planned, switching from side to side, spinning in a circle, and so on. These movements are accomplished, the researchers say, at a hundred thousand times the speed they would have been using chemicals.A microscopic image of the nano-crane¡¯s range of motion, with the blue and red indicating selected stop points.¡°We came up with the idea of dropping biochemical nanomachine switching completely in favor of the interactions between DNA structures and electric fields,¡± said Simmel in a TUM news release. ¡°The experiment demonstrated that molecular machines can be moved, and thus also driven electrically¡¦ We can now initiate movements on a millisecond time scale and are thus 100,000 times faster than with previously used biochemical approaches.¡±And because the field provides the energy, this movement can be used to push other molecules around ? though that hasn¡¯t been demonstrated just yet.But it¡¯s not hard to imagine millions of these little machines working in vast (to them) fields, pushing component molecules toward or away from each other in complex processes or rolling products along, ¡°not unlike an assembly line,¡± as Simmel put it.The team¡¯s work, which like most great research seems obvious in retrospect, earned them the coveted cover story in Science."
1,gadgets,"Tile, one of the best known item-tracking gadgets out there, has laid off some 30 people and reportedly stopped the potential hires of another 10, TechCrunch has learned. This comes less than a year after the company raised a $25 million B round last May. The layoffs are reportedly due to disappointing sales over the holidays.When reached for comment, Tile offered the following statement:As part of our 2018 planning process, the Tile leadership team determined that a recalibration of our priorities was necessary so that the company can focus on the development of our Tile Platform business and core hardware products. Unfortunately, this means that we had to say goodbye to roughly 30 Tile colleagues. Tile remains the leader in smart location, and we will continue creating a world where everyone can find everything that matters.The roughly 30 employees being recalibrated weren¡¯t solely from any one area, according to information provided to TechCrunch, so it seems as the company says to be a general cost saving measure. A Tile representative pointed out that a hiring freeze was not announced, so the 10 hires that were reportedly prevented from taking place are still a bit of a question mark.Tile revamped its product line late last summer, improving range and adding two new ¡°Pro¡± units: a sporty one for active types and a fancy white-and-gold ¡°Tile Style.¡± Perhaps it was too little, too late, or perhaps Tile has become too popular for its own good and everyone already has all the Tiles they need.At CES, it announced a handful of new partners that will integrate Tile tech into their products. This is reportedly the new focus of the company ? being a platform-first rather than a hardware-first company. No doubt the devices will still be made and sold, of course, but it won¡¯t be the totality of the Tile offering.Here¡¯s hoping it works and these layoffs are the last we hear of."
2,gadgets,"Learning braille is a skill that, like most, is best learned at an early age by those who need it. But toddlers with vision impairment often have few or no options to do so, leaving them behind their peers academically and socially. The BecDot is a toy created by parents facing that challenge that teaches kids braille in a fun, simple way, and is both robust and affordable.Beth and Jake Lacourse¡¯s daughter Rebecca (that¡¯s her up top playing with the prototype) was born with Usher Syndrome, a common cause of blindness and deafness. After finding existing braille toys and teaching tools either too basic, too complex or too expensive, they decided to take matters into their own hands.Jake happens to have a background in product design, having worked for years at a company that creates simple, durable environmental sensors. But this was a unique challenge ? how to make a toy that doubles as a braille teaching aid? Months later, however, he had created a prototype of a production device, albeit with a one-off 3D-printed case.You can see it in action at the TechCrunch booth at CES here:The BecDot has a colorfully lit surface on which toys equipped with NFC tags (programmed through an app) can be placed. Once the tag is detected, for instance on a toy cow, up to four braille letters appear, formed by lifted pegs: C-O-W. The device also can emit a sound uploaded by the parent or teacher.It¡¯s simple, yes ? as toys should be for kids this age. Yet it affords blind and partially sighted kids the opportunity to learn the alphabet and identify short words at the same time and in much the same way as sighted children. And with the sounds, lights and the possibility of integration with books and lessons, kids will likely find it plenty of fun.Here it¡¯s worth noting that kids with disabilities often suffer doubly, first from simply not having the same senses or mobility as other kids, but secondly from the social isolation that results from not being able to interact with those kids as naturally as they interact with one another. This in turn causes them to fall further behind, isolating them further, and so on in a self-perpetuating cycle. This effect snowballs as time goes on, shrinking kids¡¯ prospects of higher education and employment. We¡¯re talking 70 percent unemployed here.The BecDot and devices like it could help short-circuit that cycle, both allowing kids to connect with others and learn on their own through play.One of the things holding back devices like this is the complexity and cost of braille displays. If you think what¡¯s behind an LCD is complicated, imagine if every pixel needed to actually move up and down independently and withstand frequent handling. The braille equivalents of e-readers can cost thousands to display a sentence or two at a time ? but of course kids don¡¯t need that.Unsatisfied with the available options, Jake decided to engineer his own. He created a simple Scotch yoke mechanism that can control up to three dots at a time, meaning two of them can create a braille letter. It¡¯s all controlled by an Arduino Uno. Simple means cheap, and the other parts are far from expensive; he told me that his bill of materials right now is around $50, and he could probably get it below $30.Such a low cost would make the BecDot highly attractive, I should think, for any school with vision-impaired students. And of course there¡¯s nothing stopping sighted kids from playing with the gadget either, as I¡¯m sure they will.Right now the BecDot is only in prototype phase, but the Lacourses sounded optimistic during CES, when I met with them. They¡¯d been selected for a reward and exhibition by Not Impossible, an organization that creates and advocates for tech in the humanitarian space. Jake tells me their time at the show exceeded his expectations, and that they got a chance to speak with people who can help both move the device toward market and advance the message he and Beth are trying to get out.Toys like this (follow-up devices could have more letters or spaces for input) could help close the literacy and socialization gap that leads to many deaf and blind people being unemployed and dependent on others later in life. And having educational toys aimed at underserved, marginalized and at-risk populations seems obvious in retrospect. It¡¯s a simple idea in some ways, but only made possible by a creative and innovative application of technology and, of course, love."
3,gadgets,"Don¡¯t call Fli Charge wireless charging. Fli Charge is conductive charging. It¡¯s just like plugging something into a wall but uses powered surfaces to distribute power. And thanks to proprietary tech, it¡¯s safe to the touch and just as fast as a wall outlet.The company stopped by TechCrunch¡¯s CES 2018 booth to show off their latest generation. It works and it¡¯s amazing and was able to charge a variety of objects including power tools, smartphones, battery packs, USB-C computers and even a custom laptop with the Fli Charge system built directly in.There are several advantages to Fli Charge. The system is capable of simultaneously charging batteries of different voltages. One strip can charge a smartphone, power tool, and laptop at the same time even though each device has different power requirements.Once a Fli Charge device is placed on the strip, charging starts immediately at the same rate as if it was plugged into an outlet. Four small conductive nubs make contact with the pad and serve up power as needed.The charging pad is safe to the touch and when the pad detects an unknown conductive material like a key or hand, it shuts off immediately. I placed my hand on the surface while it was plugged in and lived. There was no electrical sensation. Throw a set of keys on the pad and the charging shuts off, too.FORM Holdings (then Vringo) acquired Fli Charge, a fledging technology company that once had its technology used in some Chrysler vehicles. Then in October 2016 Fli Charge CEO Cliff Weinstein led a management buyout to take Fli Charge private. Along the way the products were reworked and new partnerships found including with office and school supply provider Bretford and tool maker Craftsman. In both cases, Fli Charge will be built in at an OEM level to select products.The Fli Charge line has expanded since the product hit Indiegogo in August 2017 though the fundamental offering has stayed on target. The company¡¯s pad can charge a variety of gadgets and devices while remaining safe to the touch. Fli Charged received $230k from its Indiegogo campaign.Going forward its clear that Fli Charge sees its future with additional partnerships that builds the Fli Charge technology directly into products like Craftsman power tools. The company sees a future where Fli Charge pads are built into desks and tool cases and laptops, phones and tools charge simultaneously on the same pad. And I, a guy with a lot of laptops, phones and tools, would love to live in the future, too."
4,gadgets,"If you spend any meaningful amount of time in hotels, you¡¯ll know that many of them are still living in the age of the 30-pin adapter, even though most of us have already moved on to Lightning, wireless charging and USB-C. So it¡¯s essential to pack charging equipment to handle any need that might arise ? and usually that means a lot of dongles. Nomad¡¯s new wireless USB hub really cuts down on clutter, and makes it easy to charge what you need to charge, when you need to charge it.The hub looks a bit like a sleek bag burger designed by someone who makes luxury car interiors for a living. It sounds like a weird description, but it¡¯s not a bad thing ? the black puck is basically at home in any decor, so it¡¯s a good bedside companion for home as well as away. On top, the hub has a wireless charging pad with a 7.5W max output (the max supported input the iPhone X, iPhone 8 and 8 Plus can accept).Inside, however, there¡¯s plenty more in the way of charging options, including one USB-C port capable of 3A output, a high-speed 2.4A USB-A port for charging up an iPad or the like and two 1A USB outputs for stuff like AirPods. Each has its own LED indicator (which are faint enough that they won¡¯t disturb even the most sensitive sleeper), and there¡¯s built-in cable management to keep obvious desktop clutter to a minimum.A single 1.2 meter power cable is included and connects to the wall plug to give the hub its combined 30W max output, and rubberized footing gives it a stable stickiness on almost any surface. There¡¯s a matte rubber ring on top, too, which is great for the iPhone X and 8, which can slide gradually off even other non-stick surfaces, even if they¡¯re seemingly lying perfectly flat.In terms of how it works in practice, I used the Nomad Wireless Charging Hub all throughout my recent trip to Las Vegas for the annual CES gigantic crazy consumer tech shitshow and it performed very, very well ? in fact, after a colleague took off with my only Lightning cable, it was the only way I could reliably make sure my iPhone was topped up for the next grueling day of slogging through gadget booths.You can definitely get sleeker, smaller wireless chargers, but at $80, Nomad¡¯s option is only really twice as expensive as a lot of the good options out there, and yet it also packs a lot of additional charging versatility for when you need it. If you¡¯re looking for an all-in-one travel charging companion, this is definitely a top choice."
5,gadgets,"Nintendo¡¯s big new surprise interactive experience for the Switch is now official, and it¡¯s basically a maker kit for the portable console that uses cardboard component pieces to allow people to build a range of different creations and play with them using the console to power games that interact with the DIY components.NintendoLabo is like a next-level LEGO, with kits that let you do things like build working pianos that interact directly with Switch software, and even make your own robots. Nintendo shows off an interactive fishing game with a real, build-it-yourself cardboard fishing rod you can use to catch stuff in-game, and a rolling bot you can remote-control with the Switch¡¯s touchscreen, as just a couple of examples.It actually looks super fun, and there¡¯s a variety kit and a robot kit coming out on April 20, 2018, with pricing starting at $69.99, which seems like a deal for the level of interactivity and creativity that¡¯s available with these things. The Labo kits include all the cardboard pieces you need to build the projects they contain, as well as the Switch software necessary to run the interactive digital elements.Nintendo is also selling Labo customization kits for $10 that will ship at the same time, and provide stencils, stickers and tape that allow you to customize the creations so your cardboard robot backpack looks different from everyone else¡¯s cardboard robot backpack.Kudos to Nintendo for once again ignoring the well-trod ground of putting more silicon and tech behind their gaming console ambitions, and instead striking out into the unknown of the weird and wacky. This looks like a really good time, and one that won¡¯t necessarily result in a huge new source of waste plastic after people move on to the next thing."
6,gadgets,"What do you get when you smush a bunch off live heart cells, specialized biomaterials, and electrodes into a tiny, stingray-shaped package? If you said ¡°lunch¡± than you¡¯re wrong. Instead, you get the first example of bioinspired robotic systems that can imitate nature using both electrical and organic components.The resulting project ? a 10mm long robot that can swim in water ? is ¡°composed of live heart cells, two distinct types of specialized biomaterials for structural support, and flexible electrodes.¡± Created by Ali Khademhosseini at UCLA Bioengineering, the little robot is the first of its kind to contain both biomaterial and electronics.¡°The development of such bioinspired systems could enable future robotics that contain both biological tissues and electronic systems,¡± said Khademhosseini. ¡°This advancement could be used for medical therapies such as personalized tissue patches to strengthen cardiac muscle tissue for heart attack patients.¡±Obviously this little fellow isn¡¯t doing much right now but with a few more moves and some better technology, you can imagine tiny robotic stingrays visiting you at Sea World and/or swimming through your bloodstream."
7,gadgets,"As a hard-core rocker and roller I find that my gear has to be ready to rock and/or roll at a moment¡¯s notice. There is no telling when I¡¯ll have to lay out a face-melter during jury duty or blast out some Stairway while giving plasma at the local blood bank, and I often note to friends that I enjoy rocking and rolling all night and part of every day. Are you in the same rocking boat? Then let¡¯s take a look at the Fusion Guitar.An?Indiegogo darling, this crowdfunded guitar is now shipping and costs $999 in maple and rosewood. The guitar itself has the fretboard of a full-sized electric but a squat hollow body that is full of batteries, a 20-watt amp, and speakers which gives it a sort of lumpen shape. It¡¯s surprisingly dense ? it weighs eight pounds but most of the weight is in the body ? and it runs for six hours on a charge.Like the Yamaha Transacoustic I played a few years ago the trick is that the Fusion contains an amp and speakers, allowing you to turn up the tunes and even run the audio through an iPhone to add audio modeling and record your hot licks. The guitar is compatible with iPhone 7, 7 Plus, 6, 6 Plus, 5/SE and iPhone Touch Gen 5 and an iPhone X shield is coming soon. It has three lines out including a P.A. out, a standard 1/4-inch jack for amps, and a 3.5mm jack for headphones. A small speaker on the top of the guitar acts as a sort of built-in monitor.$999 gets you the guitar, a strap, and a case along with a set of compatible plates. There is no Android compatibility.I am not a great guitarist but I am a gear head, a sad state of affairs which puts me at a loss when reviewing these in depth. The folks at Guitar World created a far more detailed video of the thing but let me offer a few points for the amateur guitarist. This is a solid learning guitar simply because you can run learning apps front and center and plug the thing into headphones to hear the results. It¡¯s also a very fun tool for looping and noodling, allowing you to record and replay various licks and, with the help of tools like Garage Band, record sketches of songs on the fly. I did enjoy my time with the Fusion and found it to be a clever take on the traditional all-in-one guitar. I could definitely see this as a busker¡¯s friend, allowing a guitarist to fill a little more space without the cost or inconvenience of carrying a full amp, and if you¡¯re fast and good enough you could do some real damage with loops and other digital tricks.If I had any complaint it¡¯s that the built-in iPhone dock, while clever, didn¡¯t quite work as well as I¡¯d like. While you can see below that various iPhone apps can make your Fusion experience quite unique I didn¡¯t find the entire system to be very intuitive. I mostly enjoyed the amplification and a bit of distortion from the hum bucking pickups and internal amp and ignored a the apps.I¡¯ve found that guitarists either love or hate gadgets like the Fusion. The familiar, analog sound of a Stratocaster paired with a good amp is always welcome in a music studio but a clever amped guitar like this one is a far harder sell. Like other wacky guitars of the past ? the Fusion reminds me a lot of the Vox Guitar Organ ? playing these are an acquired taste and require a real investment on the part of the player. At $1,000 the Fusion is far too expensive to be a first guitar ? you can get a beginner¡¯s Telecaster for $200 ? and too weird to be a daily driver. If you very specifically need a guitar that can be heard in a crowded hall without outside amplification or if you¡¯re a gadget fiend, the Fusion is for you. Otherwise, a digital Line 6 amp or Roland Go:Mixer and some kind of six-string are all you need to recreate this guitar for less cash but I doubt you¡¯ll get the same self-contained satisfaction that this weird Frankenguitar has to offer."
8,gadgets,"I¡¯ve been going to CES for almost ten years now, and it amazes me that really, nothing has changed that whole time. The same people are saying the same things on the same stages, selling the same people the same junk with slightly higher price tags. But this year I had a great time and found some amazing companies ? because I avoided at all costs actually stepping foot on the show floor.The math is simple: when a company gets big enough to get itself a big booth showing off its products, it is almost always at that point that it ceases to be a source of real innovation ? or at least the kind of innovation I think is worth tracking down and writing about at CES. They don¡¯t do anything truly cool, nor anything truly dumb.And I¡¯m not punishing them for their success. I¡¯ve seen some of these companies grow up from nothing to a flashy booth staffed by dozens, and that¡¯s great. But they exist on a different plane now: they seed their news with sites ahead of time, they have private press conferences, they¡¯re working in suites to set up sweetheart manufacturing deals. They¡¯re part of the machine now. Congratulations!(The most eloquent summary of this side of the show came from a cab driver. After he asked about the latest advances to the TV ecosystem, we explained ? something about OLED versus Micro-LED and refresh rates and other things that make almost no difference. ¡°And is it cheaper or more expensive?¡± he asked with a straight face ? then he cracked a grin and laughed uproariously. He knew the score, and with a single question reduced the whole industry to a pack of charlatans, which is exactly right. That was probably my favorite moment of the entire week.)It¡¯s for this reason that I spent my entire time at CES roaming the hot, shabby wilds that are ¡°Eureka Park.¡±A small portion of the Eureka Park map.Technically it is part of the show, but it¡¯s also like hell. Hundreds of booths perhaps six feet wide and deep are crammed in, CEOs displaying their wares like butchers or street merchants. It¡¯s hot and humid (even in the cold, usually dry Las Vegas January), there¡¯s barely room to move along the inadequate aisles, and if anyone sees you¡¯re media they make a sort of flying pitch at you to pique your interest au volant.Normally I¡¯d hate this kind of thing, but of course I¡¯d do anything for our glorious parent companies. And actually, this is where pretty much everything cool is.Sure, you can find crazy gadgets and knockoffs in the innumerable Chinese manufacturers, and the likes of LG have things like roll-up OLED screens, but these are no more than novelties, both for the companies themselves and those viewing them. The companies at Eureka Park are generally startups with one product or service that they¡¯ve put all their money and time behind; they really care about this stuff.That earnestness is endearing and makes for a good story ? though not necessarily a good idea. I passed by hundreds of booths full of things no one needs and I suspect no one wants, services doomed to languish in obscurity, or devices surfing on a trend that won¡¯t last out the year. (Just how many smartwatches do they think we need?)Every once in a while, though, you hit the trifecta: a smart piece of technology being created for a worthwhile purpose by people who actually care about both. I dare you to find anything like that in any of the main halls.This year I found a few examples of this. The first one I visited was LifeDoor, a device that closes a door it¡¯s attached to when it hears a smoke alarm go off. Here¡¯s something that could save lives (really), is simply yet purposefully designed, and created by a few people (including firefighters) who saw a chance to make something that helped others.Another gadget I found seemed too good to be true, so much so that I requested third party documentation that it works. It was Lishtot¡¯s TestDrop, a device smaller than a keyfob that instantly and reliably tells you if water is drinkable without even touching it. Wouldn¡¯t you be skeptical? This company didn¡¯t really even have its own booth; it was listed under the ¡°Israel Export Institute.¡± An affordable device that could save thousands of lives, and it has less room dedicated to it than Samsung¡¯s cheapest TV!Elsewhere I found Signall (pronounced ¡°sign all¡±), a company using a rather complex camera/Kinect setup to translate sign language in real time. Here¡¯s a tremendously difficult engineering problem, further complicated by it being a language and social problem as well, yet this small company is approaching it slowly and steadily and with the support of the deaf people it hopes to enable. (I¡¯m still working on my writeup of this one.)The passion, if little else, was on display at the SoundSkrit booth.Other stories are less life-changing but equally fun stories. Euveka¡¯s shape-shifting mannequin could help create clothes tailored to body types not catered to by the industry. Soundskrit¡¯s student founders want to reinvent the microphone. And a high school student, tired of her hands freezing while playing lacrosse, worked with her dad to make a heated stick.This is the interesting side of CES, full of people using technology for good or at the very least interesting purposes ? not looking to sell you yet another ¡°smart¡± appliance or scrape the bottom of the funding barrel for one more VR accessory.All of these people came to the Sony press conference and all of them were disappointed.More than a hundred thousand people come to CES, and among those myriads are a precious few who love what they do and want to accomplish something using technology. It isn¡¯t easy and it isn¡¯t glorious (especially not the booths), but it really is worthwhile, and worth seeking out.It¡¯s easy to be cynical about the excess of CES: the pointless press conferences that cost millions, the acres upon acres of TVs nearly indistinguishable from last year¡¯s, the buzzwords and half-truths used to stave off the reality that none of the junk they¡¯re selling matters to them or anyone else. See, I waxed cynical just writing that sentence!But there are treasures waiting to be discovered there, and people waiting to be listened to and learned from. Just don¡¯t look for them in the cavernous main halls and truth-deprived marketing. I can honestly say that CES was well worth going to this year ? as long as you didn¡¯t actually go."
9,gadgets,"You may not think much about the switches that sit underneath the keycaps of your keyboard, but there¡¯s a large contingent of enthusiasts who really, really care. And for those users, Cherry¡¯s various MX-branded switches are somewhat of a standard. Because they include a number of mechanical parts, though, you won¡¯t see a lot of laptop-like thin mechanical keyboards or mechanical keyboards on more than a handful of laptops.The trend, however, is clearly going toward slim keyboards ? and that¡¯s not lost on Cherry. So at CES this week, the company is introducing a completely new line of keyboard switches that may just be small enough to bring mechanical keyboards to more laptops (or at least more niche gaming laptops) and thinner keyboards. These new switches are low-profile versions of the Cherry MX RGB switch, a switch that features colored LEDs and which is especially popular with gamers. The company tells me that, if successful, it¡¯ll launch?thinner versions of its other MX switches, too.As Cherry engineers told me, the company saw a lot of interest in a lower-profile switch. The new one still allows for 3 millimeters of travel, and with a 1 millimeter thin keycap on top of that, you could build a seriously thin mechanical keyboard with these. On thing Cherry definitely didn¡¯t want to change, though, was the ¡°Cherry feeling¡± that many enthusiasts can detect with a single press. At the same time, though, the company also wanted to make sure that it could build a few innovations into these new switches. Among other things, this includes improved spill and dust protection.Cherry says that the switches are rated for at least 50 million key presses (though Cherry told me that it will likely hold up for much longer) and are 35 percent shallower than the standard MX switches. For gamers, the 3.2 millimeter of travel (compared to 4 millimeters in the standard switches) ? and the shorter bounce time that comes with that ? should also allow them to hit those keys just a little bit faster.Cherry is currently ramping up production for the switches, which are all manufactured in Germany. We¡¯ll likely see the first keyboards with them hit the market within the next few months."
